,Lat,Long,Light,LULC,NDVI,Road,Label
0,17.3225,78.0075,0.65122,12,0.35729,0.0,0
1,17.3275,78.0075,0.65791,10,0.38009,0.0,0
2,17.3325,78.0075,0.39388,12,0.40148,0.0,0
3,17.3225,78.0125,0.3573,10,0.35981,0.0,0
4,17.3275,78.0125,0.43708,10,0.37971,0.0,0
5,17.3325,78.0125,0.64316,12,0.39088,0.0,0
6,17.3375,78.0125,0.4453,12,0.40226,0.0,0
7,17.3125,78.0175,0.27963,10,0.35855,0.0,0
8,17.3175,78.0175,0.27976,12,0.35239,0.0,0
9,17.3225,78.0175,0.37352,10,0.37079,0.0,0
10,17.3275,78.0175,0.81708,12,0.39673,0.0,0
11,17.3325,78.0175,1.46442,12,0.40197,0.0,0
12,17.3375,78.0175,0.68563,12,0.40524,0.0,0
13,17.3125,78.0225,0.29661,12,0.36296,0.0,0
14,17.3175,78.0225,0.33671,12,0.37402,0.0,0
15,17.3225,78.0225,0.56534,12,0.39428,0.0,0
16,17.3275,78.0225,0.82881,12,0.41034,0.0,0
17,17.3325,78.0225,1.19423,12,0.40727,0.0,0
18,17.3375,78.0225,0.57725,12,0.4129,0.0,0
19,17.3425,78.0225,0.35985,12,0.43324,0.0,0
20,17.3475,78.0225,0.43382,12,0.43501,0.0,0
21,17.3525,78.0225,0.4011,12,0.40651,0.0,0
22,17.3125,78.0275,0.29094,12,0.3801,0.0,0
23,17.3175,78.0275,1.07576,12,0.40292,0.0,0
24,17.3225,78.0275,2.78248,12,0.41097,0.0,0
25,17.3275,78.0275,1.73567,12,0.41296,0.0,0
26,17.3325,78.0275,0.67013,12,0.4205,0.0,0
27,17.3375,78.0275,0.65365,12,0.42433,0.0,0
28,17.3425,78.0275,0.51697,12,0.44007,0.0,0
29,17.3475,78.0275,1.91474,12,0.43865,0.0,0
30,17.3525,78.0275,1.87702,12,0.40997,0.0,0
31,17.3575,78.0275,0.56504,12,0.38951,0.0,0
32,17.3625,78.0275,0.31302,12,0.38501,0.0,0
33,17.3675,78.0275,0.31377,12,0.40163,0.0,0
34,17.3025,78.0325,0.37991,12,0.42386,0.0,0
35,17.3075,78.0325,0.46395,12,0.40482,541.05182,0
36,17.3125,78.0325,0.33033,12,0.40171,0.0,0
37,17.3175,78.0325,1.08378,12,0.41826,0.0,0
38,17.3225,78.0325,3.85116,12,0.41471,0.0,0
39,17.3275,78.0325,1.89369,12,0.4152,0.0,0
40,17.3325,78.0325,1.31611,12,0.44292,0.0,0
41,17.3375,78.0325,1.82974,12,0.44139,0.0,0
42,17.3425,78.0325,1.1231,12,0.42813,0.0,0
43,17.3475,78.0325,4.06571,12,0.41742,0.0,0
44,17.3525,78.0325,4.59594,12,0.40092,0.0,0
45,17.3575,78.0325,1.07167,12,0.38205,0.0,0
46,17.3625,78.0325,0.26581,12,0.3913,0.0,0
47,17.3675,78.0325,0.29577,12,0.41604,0.0,0
48,17.3725,78.0325,0.27211,12,0.42573,0.0,0
49,17.2975,78.03751,0.24005,12,0.41466,0.0,0
50,17.3025,78.03751,0.31916,12,0.41332,0.0,0
51,17.3075,78.03751,0.41025,12,0.39314,23.81005,0
52,17.3125,78.03751,0.2882,12,0.41311,517.2392,0
53,17.3175,78.03751,0.40789,12,0.41761,0.0,0
54,17.3225,78.03751,1.33212,12,0.41756,0.0,0
55,17.3275,78.03751,0.93535,12,0.43276,0.0,0
56,17.3325,78.03751,1.25822,12,0.43351,0.0,0
57,17.3375,78.03751,1.42003,12,0.43047,0.0,0
58,17.3425,78.03751,0.91492,12,0.42137,0.0,0
59,17.3475,78.03751,3.7518,12,0.42182,0.0,0
60,17.3525,78.03751,3.62078,12,0.40373,0.0,0
61,17.3575,78.03751,1.22168,12,0.3889,0.0,0
62,17.3625,78.03751,0.27337,12,0.39367,0.0,0
63,17.3675,78.03751,0.218,12,0.4251,0.0,0
64,17.3725,78.03751,0.23709,12,0.43773,0.0,0
65,17.3775,78.03751,0.2358,12,0.40488,0.0,0
66,17.3825,78.03751,0.23892,12,0.40731,0.0,0
67,17.3875,78.03751,0.26072,12,0.41566,0.0,0
68,17.2975,78.0425,0.26993,12,0.40963,0.0,0
69,17.3025,78.0425,0.38326,12,0.41104,0.0,0
70,17.3075,78.0425,0.43149,12,0.38493,0.0,0
71,17.3125,78.0425,0.30328,12,0.39623,541.04663,0
72,17.3175,78.0425,0.28378,12,0.40969,0.0,0
73,17.3225,78.0425,0.28064,12,0.40856,0.0,0
74,17.3275,78.0425,0.46325,12,0.41794,0.0,0
75,17.3325,78.0425,1.0778,12,0.40098,0.0,0
76,17.3375,78.0425,0.92076,12,0.38646,0.0,0
77,17.3425,78.0425,0.49361,12,0.40676,0.0,0
78,17.3475,78.0425,0.88893,12,0.41947,0.0,0
79,17.3525,78.0425,0.9924,12,0.42667,0.0,0
80,17.3575,78.0425,0.61515,12,0.42842,0.0,0
81,17.3625,78.0425,0.26692,12,0.42021,0.0,0
82,17.3675,78.0425,0.23775,12,0.4379,0.0,0
83,17.3725,78.0425,0.24909,12,0.4589,0.0,0
84,17.3775,78.0425,0.23685,12,0.43152,0.0,0
85,17.3825,78.0425,0.25191,12,0.41562,0.0,0
86,17.3875,78.0425,0.43301,12,0.41887,0.0,0
87,17.6225,78.0425,0.87227,12,0.5298,0.0,0
88,17.6275,78.0425,0.7712,12,0.51215,0.0,0
89,17.2725,78.0475,0.19588,12,0.42171,0.0,0
90,17.2775,78.0475,0.22318,12,0.39993,0.0,0
91,17.2975,78.0475,0.32242,12,0.42571,0.0,0
92,17.3025,78.0475,0.44203,12,0.42718,0.0,0
93,17.3075,78.0475,0.38098,12,0.40022,0.0,0
94,17.3125,78.0475,0.30262,12,0.39137,538.45966,0
95,17.3175,78.0475,0.28358,12,0.40009,0.0,0
96,17.3225,78.0475,0.31988,12,0.40117,0.0,0
